Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,0.9726,62.3989,0.4743,83.4968
1,0.4640,82.5393,0.3639,86.7342
2,0.3754,84.9896,0.3046,88.3911
3,0.3276,86.7242,0.2655,89.0124
4,0.2865,88.3796,0.2379,90.1243
5,0.2574,89.2756,0.2133,91.2797
6,0.2485,89.6662,0.2105,90.7020
7,0.2214,90.6469,0.1849,92.0536
8,0.2068,91.2615,0.1855,92.1735
9,0.2033,91.6603,0.1777,92.4569
10,0.1986,91.7149,0.1718,92.6750
11,0.1851,92.2831,0.1674,93.1001
12,0.1711,92.9223,0.1695,93.0129
13,0.1692,93.0917,0.1679,92.6750
14,0.1921,92.4388,0.1796,92.8821
15,0.1691,93.0589,0.1606,93.5252
16,0.1601,93.3047,0.1652,92.9148
17,0.1471,94.0150,0.1559,93.7868
18,0.1456,94.1898,0.1366,94.4299
19,0.1429,94.1488,0.1453,94.1356
20,0.1377,94.4575,0.1535,93.5034
21,0.1324,94.7225,0.1565,93.7868
22,0.1293,94.9164,0.1356,94.4517
23,0.1215,95.2169,0.1441,94.6588
24,0.1204,95.3180,0.1313,94.8877
25,0.1263,95.2360,0.1223,95.3891
26,0.1151,95.4054,0.1279,95.2147
27,0.1078,95.8260,0.1239,95.5635
28,0.1037,95.8288,0.1223,95.4654
29,0.1116,95.7632,0.1304,95.1384
0,1.0015,62.4071,0.5061,82.7556
1,0.4877,82.2716,0.4342,83.3878
2,0.4087,84.3395,0.3742,85.2954
3,0.3548,85.7927,0.2877,88.8925
4,0.3428,86.3336,0.2646,89.4920
5,0.2881,88.0818,0.2432,90.1461
6,0.2593,89.3165,0.2339,90.2769
7,0.2449,89.5815,0.2237,90.8219
8,0.2247,90.4338,0.1934,91.8792
9,0.2142,90.9364,0.1969,91.8465
10,0.2148,90.8271,0.1855,92.5114
11,0.2017,91.6548,0.1874,92.1408
12,0.1982,91.5538,0.1732,92.7404
13,0.1845,92.2613,0.1684,92.8712
14,0.1818,92.2367,0.1677,92.7513
15,0.1699,92.9851,0.1604,93.2854
16,0.1667,93.0425,0.1634,93.0238
17,0.1608,93.3430,0.1553,93.4162
18,0.1548,93.7418,0.1523,93.8522
19,0.1561,93.5642,0.1555,93.5470
20,0.1498,93.9494,0.1799,92.7840
21,0.1475,94.0559,0.1621,93.9721
22,0.1436,94.2909,0.1636,93.6015
23,0.1384,94.5094,0.1544,94.0048
24,0.1299,94.9601,0.1519,94.2010
25,0.1317,94.7607,0.1572,94.0593
26,0.1292,94.9000,0.1317,94.8114
27,0.1180,95.4709,0.1341,94.7351
28,0.1180,95.4026,0.2160,91.7266
29,0.1192,95.3016,0.1520,93.7105
