Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,2.8211,6.8979,2.8317,3.4981
1,2.6937,12.2523,2.6213,20.8365
2,2.4872,16.7302,2.3651,23.2700
3,2.2670,21.9512,2.0996,28.1369
4,2.0598,27.6296,1.9103,39.3156
5,1.8927,34.2226,1.6915,44.8669
6,1.7794,36.9093,1.6468,41.8251
7,1.6893,38.7576,1.5218,46.6160
8,1.6064,41.1585,1.4765,47.9848
9,1.5562,42.6639,1.5212,41.3688
10,1.5017,45.5030,1.4192,44.1065
11,1.4318,48.8758,1.3566,47.8327
12,1.4219,48.1898,1.3200,50.8745
13,1.3723,51.0671,1.2610,54.2205
14,1.3227,52.1532,1.2469,52.1673
15,1.2860,53.8872,1.1826,54.8289
16,1.2618,54.6113,1.1641,56.8061
17,1.2410,55.3544,1.2275,52.6236
18,1.1814,57.6982,1.1256,59.9240
19,1.2296,55.0877,1.1431,58.3270
20,1.2131,55.9261,1.0715,61.8251
21,1.1635,57.4695,1.1236,58.0989
22,1.1026,61.1852,1.0368,62.2814
23,1.1124,60.5755,1.0508,62.6616
24,1.0662,60.9756,0.9825,65.6274
25,1.0475,62.0046,1.0486,62.6616
26,1.0459,62.5000,0.9740,64.4867
27,1.0356,62.3666,0.9766,64.4867
28,1.0122,63.3384,1.0004,63.4221
29,1.0064,64.2530,0.9829,65.2471
30,0.9869,64.3864,0.9533,65.8555
31,0.9530,65.0915,0.9221,67.1483
32,0.9673,65.3773,0.9572,68.7452
33,0.9880,64.6341,0.8934,67.7567
34,0.9507,66.7873,0.9087,68.7452
35,0.9233,67.2637,0.8972,67.6806
36,0.9126,68.2927,0.8934,67.3764
37,0.8785,69.5122,0.8104,72.4715
38,0.8482,70.2553,0.8118,71.1027
39,0.8895,68.2165,0.8190,70.5703
40,0.8480,70.4459,0.8350,70.1901
41,0.8520,69.9886,0.8238,70.7224
42,0.8304,71.1128,0.7815,73.9924
43,0.7796,74.0091,0.8051,71.8631
44,0.8217,71.0366,0.7859,71.4068
45,0.8138,71.5511,0.8178,71.4068
46,0.7904,71.0366,0.7979,72.6996
47,0.7584,73.7424,0.8031,73.1559
48,0.7672,73.3232,0.7607,74.6008
49,0.7511,74.2759,0.7245,74.8289
50,0.7492,73.3613,0.7904,72.4715
51,0.7394,73.9710,0.8484,69.5817
52,0.7509,73.9329,0.7344,73.5361
53,0.7388,74.5046,0.7287,75.5894
54,0.6986,76.8674,0.6693,76.5019
55,0.6714,77.4009,0.7313,74.9810
56,0.6911,76.4482,0.6710,77.8707
57,0.6909,76.4101,0.7860,73.0038
58,0.6599,77.7058,0.6527,77.8707
59,0.6302,78.6585,0.6557,77.6426
