Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,1.7713,25.0000,1.6321,34.4053
1,1.1611,52.3591,0.8241,58.4951
2,0.7703,64.7825,0.6789,73.9078
3,0.6671,72.5490,0.6431,73.1189
4,0.5983,77.4663,0.5172,80.5825
5,0.5028,81.9393,0.4550,82.5850
6,0.4617,83.2874,0.3965,85.6796
7,0.3848,86.3664,0.3475,88.0461
8,0.3262,88.6489,0.3021,89.4417
9,0.2816,90.5178,0.2744,90.1092
10,0.3086,89.1238,0.2314,92.0510
11,0.2295,92.0496,0.2046,92.4757
12,0.2038,93.0760,0.2145,92.4757
13,0.2411,91.1765,0.2264,91.5655
14,0.1670,94.2862,0.1831,93.4466
15,0.1685,94.1483,0.1838,93.3252
16,0.1553,94.4393,0.1741,93.9927
17,0.1447,94.9142,0.1826,93.8714
18,0.1419,95.0674,0.1664,93.8714
19,0.1346,95.2512,0.1697,93.0218
20,0.1378,95.1134,0.1643,93.9320
21,0.1543,94.2096,0.1659,93.6286
22,0.1269,95.4657,0.1479,95.0243
23,0.1235,95.8793,0.1617,94.1748
24,0.1630,94.3934,0.1631,94.1748
25,0.1245,95.3585,0.1463,94.2354
26,0.1155,95.8946,0.1372,94.9029
27,0.1015,96.5227,0.1406,94.7209
28,0.1084,95.6955,0.1825,92.9005
29,0.1273,95.0827,0.1917,91.9903
0,1.7672,22.2580,1.6200,38.8350
1,1.1429,55.6832,0.7805,68.8107
2,0.7547,67.4173,0.6498,77.1238
3,0.6410,74.5558,0.6064,76.1529
4,0.5432,79.5956,0.4873,80.3398
5,0.5123,79.8560,0.4663,82.7670
6,0.4458,83.7469,0.3936,85.8010
7,0.4135,85.1256,0.3738,85.9830
8,0.3712,86.1520,0.3439,86.8932
9,0.3298,88.0362,0.2909,88.8956
10,0.2827,89.7365,0.3034,88.7136
11,0.2342,92.1109,0.2528,91.2015
12,0.2134,92.6777,0.2174,92.2330
13,0.1886,93.3517,0.2025,92.9005
14,0.1976,92.7543,0.1979,92.7184
15,0.1794,93.5509,0.1731,93.3859
16,0.1822,93.6428,0.2376,90.9587
17,0.1645,93.9032,0.1530,94.3568
18,0.1304,95.4197,0.1953,92.6578
19,0.1526,94.8683,0.1665,93.9320
20,0.1366,95.4044,0.1884,93.3252
21,0.1403,95.0827,0.1405,94.2961
22,0.1392,94.9295,0.1719,93.5680
23,0.1291,95.2819,0.1391,94.6602
24,0.1319,94.8836,0.1261,94.8422
25,0.1243,95.1134,0.1342,94.4175
26,0.1161,95.6648,0.1324,94.7816
27,0.1149,95.6189,0.1373,94.1748
28,0.1212,95.2972,0.1297,94.8422
29,0.1145,95.6036,0.1350,94.4782
