Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,0.7699,71.6537,0.4630,83.6603
1,0.4226,83.7139,0.3058,88.1186
2,0.3397,86.2762,0.2654,88.9470
3,0.2948,87.7377,0.2358,90.7129
4,0.2733,88.5271,0.2263,90.6257
5,0.2574,89.1007,0.2133,90.8873
6,0.2376,89.8110,0.2101,90.9745
7,0.2321,90.1251,0.2090,91.3669
8,0.2241,90.3518,0.1973,91.6830
9,0.2150,90.5376,0.2027,91.8574
10,0.2091,90.9719,0.2031,91.3996
11,0.2156,90.7315,0.2215,90.2224
12,0.1971,91.4827,0.1876,92.3370
13,0.1962,91.6166,0.2011,91.5304
14,0.1893,91.9608,0.2148,91.5086
15,0.1876,91.8160,0.2162,90.8437
16,0.1835,92.2066,0.1837,92.6859
17,0.1892,91.9253,0.1884,92.0427
18,0.1730,92.5945,0.2352,90.4622
19,0.1705,92.6437,0.1873,92.3697
20,0.1652,92.8977,0.2277,91.1380
21,0.1676,92.7448,0.1953,92.0209
22,0.1714,92.7284,0.1618,93.0456
23,0.1650,93.1135,0.1710,92.7840
24,0.1624,92.9988,0.1719,92.9366
25,0.1624,93.0015,0.1800,92.7077
26,0.1604,93.1627,0.1800,92.7295
27,0.1573,93.3894,0.1723,92.8385
28,0.1549,93.4441,0.1676,93.1546
29,0.1548,93.4304,0.1682,92.7622
30,0.1523,93.5260,0.1717,93.0020
31,0.1493,93.7008,0.1656,93.0456
32,0.1503,93.8074,0.1745,93.0456
33,0.1485,93.8046,0.1608,93.3290
34,0.1457,93.9631,0.1702,93.1655
35,0.1416,94.0860,0.1592,93.4380
36,0.1450,93.9358,0.1529,93.6887
37,0.1410,94.2581,0.1661,93.3726
38,0.1374,94.3783,0.1603,93.5688
39,0.1375,94.2335,0.1600,93.5688
40,0.1370,94.4056,0.1415,94.2228
41,0.1383,94.1078,0.1554,93.7214
42,0.1330,94.5340,0.1457,94.0593
43,0.1367,94.4930,0.1440,93.8631
44,0.1316,94.5094,0.1455,94.0593
45,0.1311,94.6596,0.1454,94.0157
46,0.1333,94.5941,0.1399,94.2337
47,0.1312,94.6159,0.1544,93.6996
48,0.1273,94.8727,0.1525,93.5579
49,0.1342,94.5750,0.1436,94.0266
50,0.1252,94.9792,0.1363,94.4081
51,0.1257,94.8345,0.1247,94.7569
52,0.1258,94.9082,0.1391,94.5171
53,0.1261,94.8208,0.1419,94.0484
54,0.1216,94.9246,0.1342,94.5825
55,0.1229,94.9656,0.1380,94.3318
56,0.1200,95.0530,0.1317,94.4517
57,0.1164,95.1623,0.1352,94.5280
58,0.1214,95.1076,0.1348,94.6370
59,0.1189,95.1623,0.1352,94.4081
