Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,2.4132,24.0473,2.0439,39.3156
1,1.8504,40.8918,1.7412,46.5399
2,1.6158,46.6463,1.6141,47.8327
3,1.4869,50.7050,1.4711,49.6578
4,1.3416,55.9070,1.3788,54.7529
5,1.2694,57.8887,1.2833,58.0228
6,1.2068,60.6326,1.1938,60.9125
7,1.1338,62.8239,1.1078,65.3232
8,1.0885,64.1578,1.0476,66.0076
9,0.9990,68.1974,1.0041,68.3650
10,0.9643,69.4931,0.9555,69.5057
11,0.9067,70.7889,0.9246,71.9392
12,0.8758,73.4375,0.8615,74.2966
13,0.8210,75.3430,0.8429,74.3726
14,0.8064,75.1715,0.7975,76.3498
15,0.7489,78.0297,0.7667,77.1103
16,0.7312,78.3155,0.7262,78.8593
17,0.7090,79.1730,0.7007,79.7719
18,0.6886,79.1540,0.7053,78.4791
19,0.6516,81.1357,0.6667,79.3156
20,0.6115,82.6982,0.6300,81.4449
21,0.6249,81.4787,0.6368,81.8251
22,0.5804,83.4985,0.6120,80.9125
23,0.5757,83.4604,0.5971,81.8251
24,0.5557,84.8323,0.5844,82.1293
25,0.5280,86.0899,0.5668,83.4981
26,0.5202,85.8422,0.5689,83.0418
27,0.4980,86.6616,0.5284,83.4981
28,0.4729,87.6905,0.5122,84.8669
29,0.4660,87.8239,0.5002,84.4867
30,0.4428,88.1288,0.5028,85.1711
31,0.4346,89.1959,0.4869,84.7148
32,0.4192,88.8720,0.4672,85.8555
33,0.4133,89.4436,0.4661,85.2471
34,0.3921,90.2439,0.4497,86.4639
35,0.3981,89.4817,0.4455,86.6160
36,0.3649,91.0061,0.4367,87.2243
37,0.3718,90.5678,0.4190,88.7452
38,0.3492,91.5015,0.4288,87.1483
39,0.3346,91.7492,0.4083,87.4525
40,0.3335,91.9398,0.4126,87.6046
41,0.3234,92.1875,0.3908,88.7452
42,0.3087,92.9116,0.3766,88.5171
43,0.3129,92.4162,0.3755,89.5057
44,0.2853,93.1021,0.3692,88.9734
45,0.2928,92.4733,0.3655,89.3536
46,0.2859,93.2165,0.3617,89.6578
47,0.2602,94.1883,0.3571,89.3536
48,0.2667,93.7500,0.3607,89.0494
49,0.2483,94.5884,0.3432,89.8859
50,0.2468,94.9695,0.3496,89.5057
51,0.2430,94.6456,0.3292,90.7985
52,0.2309,95.0267,0.3261,90.7985
53,0.2284,94.5503,0.3349,90.4943
54,0.2272,95.1220,0.3322,90.2662
55,0.2269,94.9695,0.3132,90.7985
56,0.2118,95.4649,0.3096,91.4068
57,0.2046,95.9794,0.3056,90.7985
58,0.2045,96.0366,0.3115,90.7985
59,0.1930,96.2081,0.2984,91.4068
