Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,0.9708,64.9050,0.7595,74.8180
1,0.4830,84.9571,0.4414,86.5898
2,0.3262,90.2114,0.3122,90.5340
3,0.2397,92.0190,0.2379,91.6262
4,0.1923,93.4130,0.2060,92.3544
5,0.1654,94.3168,0.1948,92.4150
6,0.1578,94.1023,0.1687,93.8714
7,0.1414,95.1746,0.1595,93.4466
8,0.1295,95.0674,0.1508,94.5388
9,0.1232,95.4350,0.1550,93.6893
10,0.1240,95.1900,0.1501,93.3859
11,0.1261,95.1134,0.1355,94.1141
12,0.1233,95.1746,0.1333,94.7209
13,0.1218,95.0214,0.1362,94.2961
14,0.1151,95.0827,0.1302,94.3568
15,0.1116,95.2206,0.1285,94.7209
16,0.1134,95.4657,0.1281,94.4175
17,0.1100,95.6801,0.1272,94.7816
18,0.1038,95.8487,0.1233,94.5995
19,0.1052,95.7567,0.1219,94.6602
20,0.1037,95.8793,0.1202,94.9029
21,0.1017,95.8793,0.1203,94.4782
22,0.1074,95.3278,0.1129,95.2063
23,0.0968,95.9865,0.1162,95.1456
24,0.1053,95.4963,0.1173,94.7209
25,0.1013,95.8027,0.1145,94.5995
26,0.0997,95.7721,0.1130,95.4490
27,0.0998,95.8333,0.1121,95.0243
28,0.0904,96.2010,0.1139,95.1456
29,0.1038,95.7567,0.1097,95.0243
30,0.0992,95.9099,0.1250,93.8714
31,0.0995,95.7108,0.1144,94.6602
32,0.0959,96.0172,0.1056,95.0243
33,0.0926,95.9559,0.1104,94.7816
34,0.0910,96.1091,0.1060,95.3277
35,0.0909,96.3235,0.1031,95.3277
36,0.0887,96.4614,0.1085,94.7209
37,0.0891,96.3542,0.1001,95.5704
38,0.0888,96.4001,0.1043,94.9636
39,0.0934,96.0018,0.0986,95.8131
40,0.0815,96.6605,0.0997,95.3883
41,0.0850,96.5993,0.0978,95.3277
42,0.0923,96.3082,0.0951,95.6917
43,0.0860,96.5227,0.0960,95.9951
44,0.0936,96.4001,0.0955,95.8131
45,0.0877,96.2929,0.0971,95.5704
46,0.0752,96.9669,0.0967,95.9951
47,0.0866,96.5993,0.0925,95.7524
48,0.0827,96.7065,0.0931,96.1772
49,0.0723,97.1048,0.0892,95.8131
50,0.0756,96.9516,0.0951,96.0558
51,0.0848,96.2929,0.0897,96.1165
52,0.0857,96.1397,0.0964,95.4490
53,0.0779,96.7984,0.0886,96.2379
54,0.0796,96.9056,0.0857,96.1772
55,0.0759,96.8137,0.0857,96.2379
56,0.0754,96.9822,0.0857,95.7524
57,0.0789,96.8750,0.0909,96.1165
58,0.0764,96.7218,0.0859,95.9951
59,0.0692,97.1967,0.0846,96.9053
