Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,1.5343,35.8965,1.2668,46.7517
1,1.1995,52.6743,1.0570,60.6715
2,1.0533,59.5061,1.0624,59.9193
3,1.0171,61.5057,1.0518,59.7122
4,0.9380,65.5376,0.8719,68.2690
5,0.8858,67.0263,0.8585,69.5117
6,1.0119,61.4128,0.9999,60.3554
7,0.9577,61.8335,0.9185,63.0695
8,0.9208,61.9209,0.8424,67.7022
9,0.8503,66.2861,0.7722,71.6808
10,0.7995,69.5094,0.7331,73.9372
11,0.7734,70.8015,0.7362,73.3813
12,0.7347,71.5636,0.6555,75.8993
13,0.6989,73.1807,0.6175,77.6760
14,0.7167,72.6426,0.6839,74.8528
15,0.7120,72.0526,0.6850,73.1415
16,0.7125,70.8780,0.6996,73.9699
17,0.6889,74.2242,0.6437,75.9320
18,0.6668,75.2267,0.6703,75.4415
19,0.6570,75.3223,0.7064,73.6102
20,0.6396,76.4232,0.5690,79.9433
21,0.6332,76.4259,0.6846,76.2481
22,0.6732,74.8088,0.5950,78.2756
23,0.5969,78.0349,0.5265,81.3059
24,0.5766,78.8953,0.5226,81.7310
25,0.5473,79.6984,0.5058,81.8509
26,0.5504,79.3979,0.4733,83.2243
27,0.5044,81.2309,0.4478,84.0528
28,0.4756,82.2880,0.4171,84.7395
29,0.4944,81.9111,0.4858,83.3769
