Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,2.8159,7.3552,2.8154,5.0190
1,2.7444,9.1654,2.7791,5.0951
2,2.6474,12.9383,2.6912,16.7300
3,2.5718,13.7767,2.5188,20.4563
4,2.4754,16.5968,2.3518,20.9125
5,2.4041,18.5213,2.2560,16.6540
6,2.3414,20.6364,2.2040,25.8555
7,2.2590,22.5800,2.1396,32.0152
8,2.2125,22.8277,2.0790,27.2243
9,2.1547,24.8095,2.0168,29.9620
10,2.0941,25.6669,1.9753,28.8973
11,2.1017,25.5335,1.9997,29.2015
12,2.0205,28.6395,1.9341,30.7985
13,1.9518,30.6974,1.9047,32.3194
14,1.9436,29.7066,1.8909,32.5475
15,1.8851,33.1745,1.8338,32.8517
16,1.8653,31.7835,1.8196,31.7110
17,1.8319,33.7652,1.7881,32.8517
18,1.7990,35.1181,1.7673,33.6122
19,1.7706,36.8521,1.7701,36.0456
20,1.7524,37.2713,1.7312,34.5247
21,1.7252,37.6905,1.7189,34.4487
22,1.7102,39.2340,1.7037,38.4030
23,1.6997,40.0724,1.6980,37.4905
24,1.6628,41.9970,1.6795,36.5779
25,1.6634,40.2630,1.6598,41.0646
26,1.6307,42.6258,1.6580,39.2395
27,1.6062,41.8826,1.6389,45.3992
28,1.5942,44.7599,1.6165,43.1179
29,1.5973,44.0549,1.6273,41.9011
