Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,1.7859,22.2120,1.7716,28.5194
1,1.6620,36.1366,1.4103,32.9490
2,1.3916,33.8235,1.3083,35.6796
3,1.2540,43.7806,1.1662,48.7864
4,1.1355,51.2408,1.0912,51.0922
5,1.0401,57.3529,0.9950,59.8908
6,0.9438,59.9877,0.8946,62.3180
7,0.8783,63.5263,0.8715,63.5922
8,0.7916,68.1985,0.7120,73.3010
9,0.8795,60.2788,0.8061,56.3714
10,0.8113,63.0055,0.7243,70.3883
11,0.7100,71.6146,0.7261,71.9053
12,0.9592,58.3333,0.7507,70.8131
13,0.7380,70.3891,0.6870,73.0583
14,0.9410,60.9069,0.7116,70.2670
15,0.7097,71.1397,0.6784,73.5437
16,0.6820,72.2733,0.6558,74.8180
17,0.6658,72.5184,0.7771,66.9903
18,1.0394,53.4620,1.4859,38.7743
19,0.9728,57.5214,0.7826,65.4733
20,0.8322,60.6158,0.8263,63.4709
21,0.8179,60.8915,0.7540,61.1044
22,0.7452,62.1783,0.7229,65.2306
23,0.7339,64.0472,0.7128,64.9272
24,0.7220,66.7433,0.6962,67.9612
25,0.7192,67.5551,0.6802,70.0243
26,0.6860,69.1483,0.6495,72.9976
27,0.6672,70.9406,0.7090,71.2985
28,0.6557,71.4461,0.6183,73.7257
29,0.6277,72.7941,0.6228,74.5752
