Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,2.4528,16.6540,2.2108,21.2928
1,2.0093,26.6387,1.7623,38.4030
2,1.6944,37.7668,1.4847,44.4106
3,1.5212,43.5595,1.5729,44.7909
4,1.5956,40.8155,1.3244,52.2433
5,1.3662,47.9040,1.2014,56.8061
6,1.2456,52.6486,1.1912,55.0570
7,1.2024,54.5541,1.0718,61.7490
8,1.1398,57.1837,1.1163,59.4677
9,1.0617,59.3369,0.9900,63.1939
10,1.0424,60.6517,1.0511,58.9354
11,1.0484,60.7088,1.0561,62.8897
12,0.9034,66.9779,0.8910,68.9734
13,0.8510,68.8072,0.8783,69.1255
14,0.7889,71.1128,0.8576,68.4411
15,0.7651,72.9611,0.7964,72.0913
16,0.7618,72.6944,0.8006,69.6578
17,0.7309,73.8377,0.7996,70.7224
18,0.6781,76.0099,0.8063,72.7757
19,0.6658,76.8483,0.7198,74.9810
20,0.5929,79.0206,0.6525,78.3270
21,0.5566,80.9070,0.7037,75.6654
22,0.5306,81.4787,0.6969,76.6540
23,0.4528,85.4802,0.7141,77.1863
24,0.4760,83.7843,0.6142,80.8365
25,0.4365,85.2706,0.6000,80.3042
26,0.3726,87.4809,0.6033,79.3916
27,0.4573,84.3178,0.7037,76.5779
28,0.4538,85.0800,0.5843,81.3688
29,0.3436,89.2149,0.5161,84.2586
