Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,0.8609,60.5392,0.6365,70.4490
1,0.5418,78.2935,0.4396,83.2524
2,0.3699,86.4277,0.2665,90.8374
3,0.2094,92.6471,0.2314,90.5947
4,0.1740,93.7194,0.1520,94.4175
5,0.2649,90.4259,0.2238,92.7184
6,0.1858,93.3670,0.2520,88.4102
7,0.1434,94.9295,0.1577,94.2354
8,0.1413,94.8070,0.1197,95.1456
9,0.0944,96.3848,0.1726,93.3252
10,0.1191,95.5116,0.1121,95.4490
11,0.1088,96.0018,0.1247,94.5995
12,0.1153,95.7108,0.2414,90.7767
13,0.1223,95.3125,0.0975,95.7524
14,0.0859,97.0895,0.0909,96.5413
15,0.1735,93.3364,0.1740,93.6286
16,0.1236,95.2512,0.1227,95.0850
17,0.1005,96.2316,0.1097,95.2063
18,0.1122,96.0478,0.0973,96.1165
19,0.1142,96.0784,0.0947,96.0558
20,0.0860,96.7831,0.0958,96.2985
21,0.0849,97.0741,0.0871,96.3592
22,0.0858,96.5533,0.0787,96.6626
23,0.0756,97.4112,0.0870,96.6019
24,0.1017,96.4461,0.1350,95.3883
25,0.1112,95.7721,0.0934,96.2379
26,0.0856,96.8290,0.0802,96.9660
27,0.0761,97.2580,0.0824,96.5413
28,0.0622,97.7941,0.0707,97.0874
29,0.0627,97.8094,0.0869,96.9053
30,0.0657,97.6103,0.1061,96.7233
31,0.0924,96.7218,0.0704,97.5728
32,0.0658,97.6409,0.1215,95.6311
33,0.0676,97.4112,0.0964,96.2379
34,0.0763,97.3805,0.0720,97.0267
35,0.0738,97.5950,0.0744,96.7840
36,0.0589,97.9626,0.0796,97.3301
37,0.0546,98.0545,0.0540,97.9369
38,0.0491,98.2384,0.0596,97.5121
39,0.0432,98.4375,0.0745,97.2087
40,0.0678,97.7022,0.6771,83.9806
41,0.0814,97.0588,0.0784,97.1481
42,0.0534,98.1618,0.0525,98.1796
43,0.0453,98.3303,0.0466,98.1796
44,0.0480,97.9626,0.0538,98.0583
45,0.0336,98.6979,0.0472,98.3617
46,0.0340,98.8205,0.0569,97.8762
47,0.0566,97.9473,0.1630,94.3568
48,0.0602,97.9320,0.0542,97.8762
49,0.0306,99.0196,0.0436,98.3617
50,0.0364,98.7132,0.0524,97.9976
51,0.0341,98.7286,0.0570,98.1189
52,0.0314,98.8971,0.0417,98.2403
53,0.0480,98.3303,0.0715,97.1481
54,0.0284,98.9277,0.0416,98.5437
55,0.0248,99.1575,0.0325,98.7257
56,0.0388,98.5907,0.0343,98.7864
57,0.0294,98.8817,0.0529,98.1796
58,0.0222,99.2188,0.0353,98.3617
59,0.0209,99.2647,0.0380,98.7864
