Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,0.4664,81.7526,0.2834,89.3939
1,0.3015,87.9207,0.2225,91.0072
2,0.2611,89.2865,0.2281,90.9200
3,0.2480,89.8164,0.2091,91.6830
4,0.2348,90.4201,0.1682,92.8712
5,0.2238,90.7425,0.1828,92.4678
6,0.2056,91.4527,0.1635,93.2527
7,0.2090,91.4445,0.1623,93.4707
8,0.1977,91.7504,0.1613,93.3835
9,0.1983,91.8925,0.1585,93.7759
10,0.1854,92.6082,0.1624,93.4053
11,0.1911,92.1137,0.1703,93.2636
12,0.1786,92.5563,0.1488,94.3100
13,0.1788,92.6491,0.1532,93.8086
14,0.1746,92.9660,0.1425,94.4953
15,0.1708,93.0015,0.1609,93.8304
16,0.1709,93.0835,0.1454,94.4626
17,0.1596,93.4495,0.1556,93.7759
18,0.1548,93.9330,0.1448,93.9503
19,0.1569,93.6899,0.1306,94.9422
20,0.1506,93.8046,0.1698,93.8522
21,0.1506,93.9822,0.1367,94.8550
22,0.1431,94.3182,0.1428,94.7242
23,0.1476,94.1297,0.1512,94.3754
24,0.1433,94.2035,0.1283,94.9858
25,0.1425,94.2827,0.1473,94.5280
26,0.1423,94.2444,0.1314,95.1275
27,0.1348,94.6706,0.1300,95.3891
28,0.1378,94.4329,0.1336,95.0512
29,0.1351,94.6351,0.1292,95.3564
30,0.1379,94.5832,0.1353,95.1493
31,0.1294,94.9683,0.1255,95.4545
32,0.1318,94.7279,0.1376,95.0185
33,0.1399,94.4793,0.1474,94.5825
34,0.1294,94.9656,0.1307,95.3673
35,0.1232,95.1623,0.1224,95.5417
36,0.1234,95.1513,0.1293,95.2038
37,0.1166,95.3999,0.1259,95.4545
38,0.1164,95.5010,0.1291,95.3891
39,0.1230,95.1759,0.1153,95.5853
40,0.1188,95.3344,0.1150,95.7162
41,0.1162,95.3425,0.1219,95.8252
42,0.1199,95.2060,0.1238,95.7053
43,0.1132,95.6376,0.1219,95.5963
44,0.1160,95.4819,0.1234,95.5090
45,0.1114,95.7905,0.1148,95.9669
46,0.1083,95.9080,0.1344,95.4218
47,0.1022,95.9927,0.1177,95.9233
48,0.1108,95.6294,0.1252,95.6181
49,0.1060,95.8916,0.1264,95.6399
50,0.1052,95.9189,0.1134,96.1522
51,0.1044,95.9490,0.1075,96.2721
52,0.1057,96.0173,0.1228,95.7707
53,0.1038,96.0473,0.1385,95.3128
54,0.1070,95.8534,0.1085,96.0541
55,0.1046,95.9162,0.1306,95.3346
56,0.1096,95.6075,0.1234,95.8143
57,0.1003,96.0774,0.1159,96.1740
58,0.1012,96.2167,0.1209,95.9669
59,0.1044,95.9162,0.1246,95.6835
