Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,0.4544,82.9044,0.1564,93.9927
1,0.1581,94.0257,0.1344,94.4175
2,0.1183,95.4044,0.1138,95.2670
3,0.1147,95.4350,0.1199,94.9029
4,0.1055,95.6342,0.1355,93.8714
5,0.1157,95.2512,0.1181,95.1456
6,0.1120,95.3585,0.1092,94.7816
7,0.1003,96.0172,0.1069,96.2985
8,0.0992,95.7874,0.1094,94.8422
9,0.0922,95.9559,0.1001,95.7524
10,0.0974,95.8640,0.0947,95.3277
11,0.0920,96.2316,0.1153,94.8422
12,0.0921,96.3848,0.1089,95.0243
13,0.0908,96.1397,0.0966,95.4490
14,0.0817,96.5993,0.0974,95.4490
15,0.0922,96.2163,0.0980,96.1165
16,0.0953,96.0018,0.1490,93.2039
17,0.0931,96.1244,0.0901,96.0558
18,0.0742,96.6299,0.0939,96.2985
19,0.0835,96.6605,0.0897,95.8738
20,0.0767,96.7525,0.0939,95.8131
21,0.0876,96.3235,0.1029,94.9029
22,0.0831,96.5380,0.0956,95.9345
23,0.0736,97.0741,0.0955,95.7524
24,0.0718,97.1967,0.0833,96.2985
25,0.0719,96.8444,0.0829,96.4199
26,0.0750,96.8137,0.1017,95.0850
27,0.0778,96.7065,0.1009,95.2063
28,0.0753,96.9516,0.0943,96.0558
29,0.0807,96.5380,0.0859,96.0558
30,0.0813,96.5227,0.0901,96.1772
31,0.0747,97.1661,0.1023,95.8738
32,0.0637,97.3652,0.1038,95.6311
33,0.0648,97.1814,0.0900,96.1165
34,0.0618,97.5797,0.0884,95.9951
35,0.0738,96.9669,0.0943,95.8738
36,0.0655,97.1048,0.0866,96.2985
37,0.0690,97.1354,0.1055,95.6311
38,0.0654,97.0129,0.0913,96.1165
39,0.0655,97.5490,0.0877,96.2379
40,0.0644,97.3652,0.0856,96.2985
41,0.0630,97.1201,0.0770,95.9951
42,0.0678,97.1354,0.1084,95.3277
43,0.0715,96.9516,0.0799,96.6626
44,0.0670,97.3499,0.0855,96.0558
45,0.0683,97.0588,0.0804,96.7233
46,0.0677,97.1201,0.0906,96.3592
47,0.0632,97.1967,0.0846,96.3592
48,0.0598,97.5950,0.1065,95.8738
49,0.0613,97.2733,0.0836,96.2985
50,0.0515,97.9779,0.0998,95.9345
51,0.0636,97.3346,0.0773,96.0558
52,0.0633,97.5337,0.0864,96.3592
53,0.0631,97.4112,0.0809,96.6626
54,0.0556,97.5950,0.0965,96.1772
55,0.0592,97.3499,0.0723,97.0874
56,0.0606,97.6409,0.0925,96.4806
57,0.0639,97.3805,0.0837,96.6626
58,0.0612,97.3039,0.0792,96.6626
59,0.0558,97.7482,0.0737,97.0267
