Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,0.9458,65.3300,0.4675,83.1262
1,0.4364,83.2304,0.3322,86.6579
2,0.3423,85.8801,0.2675,88.0641
3,0.3013,87.1913,0.2578,88.7944
4,0.2703,88.1938,0.2354,89.8409
5,0.2484,88.8767,0.2092,90.7456
6,0.2342,89.4231,0.2032,90.9091
7,0.2225,90.1442,0.1986,90.8110
8,0.2184,89.9202,0.2020,90.9418
9,0.2123,90.1879,0.1761,91.9337
10,0.1960,90.8982,0.1900,91.3778
11,0.1910,90.9036,0.1886,91.5740
12,0.1881,91.1823,0.1797,91.8683
13,0.1874,91.2451,0.1762,91.7811
14,0.1816,91.3462,0.1679,92.2062
15,0.1728,91.7668,0.1733,92.4569
16,0.1769,91.6630,0.1776,92.3697
17,0.1732,91.8406,0.1708,92.4460
18,0.1660,91.8952,0.1661,92.3261
19,0.1591,92.2886,0.1695,92.1299
20,0.1597,92.5016,0.1591,92.6313
21,0.1600,92.3951,0.1833,92.0863
22,0.1565,92.7092,0.1664,92.3479
23,0.1539,92.5891,0.1652,92.7186
24,0.1503,92.9906,0.2110,91.4432
25,0.1488,92.9688,0.1709,92.5223
26,0.1494,92.9769,0.1635,92.9475
27,0.1430,93.2692,0.1889,92.5441
28,0.1392,93.4468,0.1587,92.8930
29,0.1428,93.4850,0.1951,92.6204
0,0.9401,66.1768,0.4905,82.1779
1,0.4380,83.0638,0.3315,86.7997
2,0.3500,85.7900,0.2867,88.5219
3,0.3149,86.5931,0.2606,89.0124
4,0.2958,87.2214,0.2415,89.3830
5,0.2696,88.0108,0.2309,89.7210
6,0.2506,88.9286,0.2151,90.4731
7,0.2424,89.4914,0.2161,90.7892
8,0.2341,89.4641,0.2011,91.0399
9,0.2260,89.7700,0.1990,90.8982
10,0.2143,90.3819,0.1981,90.9200
11,0.2081,90.4884,0.1877,91.5304
12,0.1991,90.7862,0.1798,91.7157
13,0.1931,90.9391,0.1902,91.6721
14,0.1890,91.1194,0.1774,91.7702
15,0.1846,91.3243,0.1691,92.1517
16,0.1783,91.6220,0.1711,92.0536
17,0.1786,91.3598,0.1768,92.0209
18,0.1741,91.7313,0.1647,92.0863
19,0.1716,91.9089,0.1611,92.6641
20,0.1730,91.7996,0.1736,92.4133
21,0.1684,92.0536,0.1685,92.3806
22,0.1642,92.2121,0.1590,92.5877
23,0.1593,92.3705,0.1835,92.3479
24,0.1601,92.3350,0.1625,92.8712
25,0.1523,92.8076,0.1603,93.1437
26,0.1543,92.6300,0.1627,93.0129
27,0.1488,92.7010,0.1586,93.0674
28,0.1463,92.9933,0.1652,92.9584
29,0.1500,92.7830,0.1500,93.3399
