Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,2.8673,7.7172,2.7846,9.1255
1,2.7843,9.5084,2.7620,12.0913
2,2.7222,12.2142,2.6082,20.9125
3,2.5888,17.4733,2.3390,25.8555
4,2.3834,21.6845,2.0309,34.0684
5,2.2240,24.9428,1.9225,33.7643
6,2.0624,30.4688,1.7602,39.6958
7,1.9759,30.7165,1.6731,40.0000
8,1.8468,35.2515,1.6140,42.4335
9,1.7757,36.3948,1.5817,42.9658
10,1.6905,39.3674,1.5334,44.4867
11,1.6731,37.4809,1.4803,47.1483
12,1.6316,40.3963,1.4568,48.0608
13,1.5784,42.1684,1.4246,47.9087
14,1.5385,43.1974,1.3933,49.6578
15,1.4976,45.1791,1.3604,49.6578
16,1.4850,44.7790,1.3113,53.0798
17,1.4351,46.3986,1.3197,53.0798
18,1.4260,47.0274,1.2913,52.6236
19,1.3981,48.5899,1.2565,53.6122
20,1.3812,49.0663,1.2622,53.3080
21,1.3545,49.5617,1.2242,55.0570
22,1.3363,50.9146,1.2319,53.3080
23,1.3084,51.2195,1.1907,56.5019
24,1.3134,51.3720,1.2044,55.5133
25,1.2949,51.3910,1.1933,55.0570
26,1.2832,52.2294,1.2286,55.4373
27,1.2638,53.2965,1.1679,57.4144
28,1.2377,54.5541,1.1398,58.0989
29,1.2135,54.7828,1.1172,60.5323
0,2.8546,6.7073,2.8332,7.7567
1,2.7798,9.1463,2.7303,12.9278
2,2.7259,12.9954,2.5917,24.7148
3,2.5986,18.1212,2.4364,25.6274
4,2.4029,23.6471,2.0705,31.3308
5,2.1779,26.3910,1.8515,36.8821
6,1.9817,30.6212,1.7193,38.0989
7,1.8638,32.8125,1.6367,41.4449
8,1.7602,36.1662,1.6135,42.2053
9,1.7058,37.3857,1.5099,44.9430
10,1.6321,39.9009,1.4478,48.2890
11,1.5752,42.9306,1.4724,46.5399
12,1.5211,43.7691,1.3717,50.7985
13,1.5136,44.1311,1.3842,49.0494
14,1.4737,45.9223,1.3140,52.1673
15,1.4529,45.3887,1.3014,53.2319
16,1.4319,47.1989,1.2734,54.0684
17,1.4291,46.2081,1.2658,52.7757
18,1.3786,48.8948,1.2460,53.6122
19,1.3561,49.3521,1.2173,56.5019
20,1.3171,51.0861,1.2046,55.7414
21,1.3099,50.5907,1.1852,56.5779
22,1.3235,50.8575,1.1659,57.4144
23,1.2811,52.9916,1.1529,58.2510
24,1.2708,52.7630,1.1969,56.3498
25,1.2521,54.1921,1.1262,60.2281
26,1.2459,55.3354,1.1135,60.9886
27,1.2257,54.8590,1.1038,61.3688
28,1.2166,55.3354,1.1095,60.5323
29,1.1911,55.2401,1.1103,59.7719
