Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
0,1.5161,38.2659,1.2180,48.9684
1,1.1644,51.4093,1.0340,54.2476
2,1.0103,57.9810,0.8364,62.8641
3,0.7702,68.7040,0.6266,74.7573
4,0.5841,76.1642,0.5263,77.9126
5,0.5125,79.7335,0.4985,82.5850
6,0.4141,85.3248,0.3736,85.3155
7,0.3604,86.7341,0.3057,88.1068
8,0.2991,89.2923,0.3027,87.7427
9,0.2802,89.6140,0.2616,89.6845
10,0.2402,91.4216,0.2517,90.0485
11,0.2301,91.4522,0.2507,90.4126
12,0.2213,91.2837,0.2041,92.7184
13,0.2156,91.6820,0.2174,91.4442
14,0.1891,92.4632,0.2437,90.0485
15,0.1854,92.6164,0.1870,92.8398
16,0.1850,92.5551,0.1955,92.9612
17,0.1653,93.3211,0.2366,89.9272
18,0.1574,93.9032,0.1768,92.8398
19,0.1584,93.8572,0.2077,91.7476
20,0.1431,94.4700,0.1698,93.0825
21,0.1490,93.8879,0.1626,93.3252
22,0.1404,93.9645,0.1715,93.3252
23,0.1365,94.3627,0.1689,93.5073
24,0.1378,94.1789,0.1636,94.4175
25,0.1358,94.4393,0.1720,93.8714
26,0.1308,94.7304,0.1799,93.7500
27,0.1210,94.9602,0.1611,93.5073
28,0.1355,94.3474,0.1543,93.5073
29,0.1302,94.5159,0.1556,94.1748
0,1.6175,32.1844,1.2912,54.1869
1,1.2167,50.3983,1.0397,60.5583
2,0.9855,61.5962,0.7943,67.9612
3,0.7058,72.8860,0.5954,75.0000
4,0.5272,79.3352,0.4836,79.4296
5,0.4410,82.4908,0.4193,82.3422
6,0.3945,84.4363,0.3828,83.6772
7,0.3703,85.1256,0.3320,85.8617
8,0.3316,87.3775,0.3170,87.8034
9,0.3113,87.7298,0.2837,88.8350
10,0.2790,88.8480,0.2765,88.8350
11,0.2346,90.7016,0.2507,89.6238
12,0.2234,91.2837,0.2181,90.8374
13,0.2095,91.5135,0.2220,90.2913
14,0.1904,92.3100,0.2164,90.7160
15,0.1856,92.1875,0.1979,91.0801
16,0.1949,92.1569,0.1954,91.8083
17,0.1688,93.1526,0.1876,92.3544
18,0.1677,92.8309,0.2058,91.6262
19,0.1747,93.0147,0.2216,91.0801
20,0.1534,93.7194,0.1825,92.3544
21,0.1537,93.8113,0.2217,90.5947
22,0.1485,93.8113,0.2081,92.3544
23,0.1516,93.7500,0.2070,92.0510
24,0.1450,93.8266,0.1839,93.5073
25,0.1400,94.0411,0.2546,90.1699
26,0.1304,94.6385,0.2110,92.2937
27,0.1356,94.2402,0.1639,93.5680
28,0.1264,94.6078,0.2034,92.6578
29,0.1188,95.1134,0.1812,93.4466
